c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 3264 
p cnf 100 650
w 50 43 64 77 89 59 48 84 90 33 43 61 98 30 86 71 78 78 57 95 4 67 3 42 41 83 11 25 65 4 59 14 46 75 42 86 85 41 22 74 73 64 35 22 45 20 92 22 97 1 68 53 67 23 46 59 5 8 83 21 12 94 34 57 68 28 95 52 68 16 25 93 31 11 14 75 83 6 48 79 6 67 83 24 89 81 82 46 88 17 66 99 10 52 8 77 31 2 80 98
60 -49 22 0
56 -46 48 0
-10 4 65 0
80 15 2 0
100 -23 -25 0
-16 7 -98 0
-69 32 -50 0
-30 37 15 0
-62 -7 88 0
-88 -44 -16 0
-13 -5 34 0
90 -19 -40 0
66 37 2 0
-14 -36 63 0
10 30 -83 0
-63 -32 -21 0
7 78 -79 0
-91 17 -86 0
-37 -51 38 0
-90 -75 -81 0
-33 -16 -100 0
93 -80 -5 0
-14 13 -47 0
76 44 -91 0
-55 -59 -49 0
8 -51 3 0
-23 6 -44 0
-26 75 -92 0
-47 26 -27 0
-17 94 -8 0
89 -99 4 0
55 31 -81 0
38 55 -40 0
-38 2 -32 0
87 27 -42 0
96 -27 -58 0
-3 98 40 0
-48 87 46 0
70 -72 -71 0
60 67 49 0
51 46 -98 0
81 -91 -9 0
70 3 46 0
62 -17 39 0
-13 75 -59 0
25 -53 74 0
-4 36 -61 0
83 -30 49 0
11 20 81 0
42 -60 -36 0
-19 -65 39 0
-91 72 33 0
-71 69 79 0
-51 100 -15 0
4 -32 77 0
1 8 77 0
78 -12 -81 0
-40 46 6 0
47 -65 46 0
-85 -26 -84 0
57 -12 -5 0
-86 -87 -9 0
71 -50 18 0
-2 72 88 0
74 -32 13 0
98 35 19 0
28 -45 -89 0
-96 44 61 0
-16 38 -77 0
79 25 -18 0
39 -98 -48 0
-64 -80 9 0
66 -52 65 0
55 -83 -26 0
19 29 40 0
-19 18 -44 0
86 35 25 0
-65 68 -94 0
44 22 58 0
-57 99 23 0
-35 -36 92 0
-68 54 -69 0
85 47 -92 0
-77 -62 71 0
-91 -24 -76 0
81 71 -52 0
20 -11 83 0
94 -22 -98 0
-33 47 -90 0
-23 -7 6 0
55 -16 74 0
76 -38 -44 0
100 -84 20 0
79 16 -21 0
-42 -11 -52 0
-48 -65 71 0
46 -84 -18 0
-16 51 28 0
-3 -57 -70 0
-3 35 -75 0
48 -61 85 0
-22 43 -41 0
20 74 90 0
6 -71 16 0
21 24 -2 0
63 72 -6 0
-2 -54 65 0
-24 -18 30 0
-59 -86 -91 0
71 -74 -78 0
-28 -38 -79 0
26 -88 63 0
-11 60 -22 0
-27 92 58 0
85 43 -24 0
-99 59 -68 0
8 -2 -50 0
20 27 -3 0
29 -18 -99 0
-51 -49 39 0
-27 72 -37 0
38 -50 54 0
4 49 1 0
96 34 62 0
89 18 -38 0
-10 -91 -48 0
90 -32 62 0
-41 48 66 0
87 45 -48 0
-78 -36 53 0
-13 83 64 0
25 35 67 0
74 23 96 0
-85 36 -22 0
-29 -44 -18 0
-87 -81 7 0
-44 8 24 0
46 -98 72 0
51 -4 -22 0
36 71 -4 0
-10 65 -22 0
70 73 6 0
75 -12 13 0
-66 -5 -9 0
47 44 -68 0
-76 -27 65 0
-52 71 80 0
67 -54 36 0
22 97 63 0
97 -15 -92 0
9 55 37 0
-77 38 25 0
