c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 2881 
p cnf 100 100
w 92 67 49 75 18 99 60 61 35 85 59 68 28 69 12 95 34 86 44 75 36 57 57 1 18 99 71 26 100 11 43 43 30 43 17 47 41 76 7 27 13 65 94 40 86 57 87 19 94 30 45 29 38 54 29 8 52 51 33 3 14 27 45 43 69 61 89 62 36 48 88 100 64 34 40 49 42 78 19 36 59 16 64 96 69 45 55 20 95 87 74 8 65 18 2 86 30 91 47 17
50 69 -55 0
-83 93 100 0
-92 51 24 0
92 -87 12 0
-15 23 -14 0
11 -88 -95 0
-57 -89 -61 0
-62 -92 -51 0
-33 -38 96 0
-45 56 11 0
-22 -55 -60 0
41 -23 73 0
38 80 -88 0
-19 27 22 0
-53 82 74 0
-66 61 -34 0
-23 75 -25 0
70 -56 81 0
4 81 45 0
84 -65 -12 0
61 -31 -46 0
29 3 -83 0
-87 -81 63 0
-28 61 -59 0
43 -31 -15 0
26 -22 -41 0
63 34 -44 0
-36 81 -19 0
94 -11 -66 0
-67 -33 39 0
81 -84 73 0
-92 27 65 0
-2 -20 86 0
-62 84 -1 0
-29 -75 87 0
-70 94 -35 0
-91 -66 -13 0
76 79 -90 0
-19 51 54 0
55 -28 77 0
-39 66 -75 0
-29 91 14 0
97 46 51 0
77 52 2 0
-8 32 -50 0
-47 -3 -100 0
25 -56 -62 0
-74 -62 -100 0
53 -37 68 0
98 16 13 0
21 -55 -79 0
42 86 -80 0
-71 15 16 0
-42 67 11 0
51 8 60 0
-87 -70 -77 0
64 7 -30 0
-64 37 -25 0
-5 -82 63 0
-18 7 88 0
40 -23 49 0
1 -78 -97 0
86 9 94 0
94 99 -32 0
31 -87 86 0
16 -68 -6 0
2 79 10 0
-19 50 83 0
95 -18 48 0
-67 71 32 0
-9 -17 74 0
-43 20 -45 0
46 -96 98 0
-10 -99 -30 0
63 47 38 0
81 6 7 0
-49 11 57 0
-8 -64 18 0
-86 -19 -49 0
5 19 4 0
68 62 2 0
-62 -49 -85 0
-14 81 -7 0
-76 -21 -70 0
-39 32 -73 0
33 -23 -43 0
-40 21 -28 0
95 30 4 0
-6 -93 99 0
94 85 58 0
90 -48 -42 0
86 -13 72 0
-26 -94 44 0
89 -13 -97 0
-98 44 32 0
4 28 -82 0
-16 -28 85 0
-48 -27 -66 0
-75 -63 99 0
-57 -43 -4 0
