c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 3060 
p cnf 100 700
w 60 3 11 9 26 92 77 24 35 10 88 40 6 46 74 77 82 5 4 87 61 51 6 69 65 4 4 62 10 77 86 21 80 48 81 57 40 57 32 74 19 72 65 24 17 90 52 99 94 55 37 54 5 94 75 69 98 78 82 59 54 20 79 85 67 11 94 58 67 77 83 85 48 100 61 17 89 12 67 35 67 3 40 23 96 14 44 45 91 77 3 97 48 33 81 15 43 26 24 62
87 -65 -75 0
88 -83 -71 0
82 33 -98 0
42 41 -26 0
-13 83 64 0
-17 96 84 0
38 57 -72 0
-18 26 -61 0
-14 -92 83 0
-54 -33 -40 0
-96 -92 -14 0
-31 93 92 0
-46 -23 49 0
-43 29 77 0
90 -85 9 0
75 -57 1 0
10 22 98 0
39 78 -90 0
19 29 40 0
60 -81 -30 0
-13 75 -59 0
-13 -5 34 0
-49 9 -94 0
10 30 -83 0
4 49 1 0
-38 -22 77 0
-98 24 -31 0
94 -53 -1 0
-45 33 68 0
70 47 -44 0
-65 78 22 0
90 -73 82 0
84 99 45 0
100 -84 20 0
-75 42 -11 0
-23 6 -44 0
-28 -38 -79 0
-52 -7 -49 0
33 -2 26 0
13 40 72 0
-81 -25 -31 0
-48 -65 71 0
-77 38 25 0
-89 -27 16 0
-40 -22 4 0
-31 -37 -12 0
72 -95 11 0
96 -71 67 0
-69 48 19 0
-39 -72 -12 0
-63 -32 -21 0
38 55 -40 0
-26 25 -28 0
-57 35 20 0
11 -96 -61 0
30 64 -2 0
85 43 -24 0
74 2 43 0
12 -43 45 0
47 29 10 0
-3 98 40 0
-71 -26 41 0
-84 63 -38 0
47 25 80 0
48 84 -82 0
-16 38 -77 0
3 -14 64 0
-56 26 94 0
-10 -31 57 0
40 -57 19 0
-28 -60 -8 0
80 62 71 0
-21 3 4 0
84 -92 -35 0
41 52 35 0
-49 -79 -22 0
98 58 -24 0
77 -98 93 0
-11 -49 84 0
-72 42 38 0
65 45 -71 0
79 91 64 0
90 -4 83 0
-81 -60 41 0
78 -18 20 0
-98 -20 77 0
-87 -81 7 0
-40 89 56 0
99 83 62 0
83 -37 95 0
52 42 69 0
99 -38 -16 0
-14 -36 63 0
81 98 43 0
-48 87 46 0
81 92 82 0
62 -87 8 0
-11 -82 -24 0
91 52 74 0
-39 -11 8 0
9 89 68 0
68 -42 70 0
76 44 -91 0
-82 -77 -73 0
32 52 -8 0
23 -58 17 0
48 -32 -31 0
-66 -5 -9 0
34 49 -78 0
98 -31 80 0
79 16 -21 0
79 -49 -98 0
15 -42 88 0
-19 -90 24 0
-68 -39 -13 0
55 31 -81 0
2 -84 -79 0
42 -31 -27 0
92 98 65 0
-18 -58 57 0
8 -2 -50 0
34 -39 49 0
-81 -52 -15 0
-10 4 65 0
-77 -53 -67 0
-62 -7 88 0
91 -84 95 0
33 53 -92 0
-39 93 45 0
40 -20 58 0
42 -60 -36 0
-42 -3 93 0
-67 42 10 0
40 75 11 0
40 -78 2 0
-80 53 44 0
-63 81 50 0
-61 -85 68 0
-65 98 89 0
13 46 -48 0
64 -77 -95 0
83 80 -79 0
-27 -43 -61 0
-35 -94 59 0
-62 71 -15 0
-85 -13 67 0
65 84 3 0
91 -8 89 0
-92 -74 -39 0
-64 -90 14 0
47 11 -75 0
-17 40 -99 0
67 78 -56 0
-27 91 28 0
79 31 -71 0
100 -41 -50 0
-71 48 -11 0
46 92 -9 0
-91 84 17 0
46 -84 -18 0
42 -99 92 0
-55 -37 -85 0
16 6 50 0
83 -30 49 0
-80 -46 -15 0
-64 -80 9 0
45 -76 70 0
-82 -73 96 0
-88 74 -68 0
44 29 84 0
-38 -66 -74 0
7 -28 -5 0
47 -65 46 0
82 -32 3 0
48 -61 85 0
20 74 90 0
51 -4 -22 0
42 -9 -13 0
-48 9 61 0
36 -84 -46 0
93 69 -28 0
-54 -79 -20 0
-89 56 -47 0
-4 53 45 0
-66 -63 39 0
21 14 27 0
-89 -29 9 0
-6 80 -39 0
60 -49 22 0
76 -38 -44 0
47 -12 87 0
-38 -54 7 0
-84 -41 8 0
49 98 -37 0
84 41 63 0
-2 91 94 0
72 66 99 0
-100 -6 -63 0
-53 -35 -30 0
-80 71 -70 0
14 -100 77 0
-10 32 67 0
-79 94 84 0
-53 8 -61 0
23 -91 -15 0
71 27 41 0
-94 -54 34 0
-16 51 28 0
96 58 -50 0
-88 -44 -16 0
-9 -73 17 0
11 39 51 0
-85 40 -97 0
97 -15 -92 0
12 -68 26 0
86 -94 -31 0
93 -65 97 0
-33 -16 -100 0
-24 -97 55 0
47 -1 -17 0
24 -26 -79 0
35 88 63 0
47 -96 27 0
-98 -10 12 0
25 -33 96 0
-15 -95 18 0
98 -7 -18 0
50 -44 -77 0
-22 -51 94 0
-87 48 83 0
5 92 -44 0
84 -94 -25 0
51 -22 52 0
6 59 -90 0
56 -46 48 0
14 63 -35 0
52 -2 -12 0
-65 68 -94 0
43 7 62 0
74 85 42 0
-19 -33 -73 0
-83 84 58 0
74 -86 -82 0
-30 37 15 0
67 -25 -91 0
-51 100 -15 0
70 -4 88 0
1 -32 84 0
98 -22 71 0
72 -99 -63 0
29 -18 -99 0
-91 72 33 0
-86 -84 -25 0
-29 18 89 0
-73 -98 65 0
-59 -86 -91 0
86 35 25 0
-93 20 99 0
26 -88 63 0
50 -24 -95 0
-12 -17 24 0
-59 21 40 0
-64 -33 15 0
54 21 -88 0
8 46 -10 0
-36 16 -96 0
-76 -39 -61 0
-61 38 -37 0
4 -32 77 0
48 -23 -74 0
-59 39 48 0
-61 -13 -66 0
-99 -81 46 0
21 72 -59 0
54 -16 84 0
-77 -62 71 0
38 47 -91 0
23 36 -71 0
-47 26 -27 0
47 -56 -53 0
89 18 -38 0
-71 84 -27 0
-91 17 -86 0
40 -38 -45 0
9 55 37 0
96 32 26 0
6 -71 16 0
-78 97 -4 0
-15 63 56 0
-17 -30 -4 0
-8 -64 -2 0
-87 18 52 0
-44 -45 -77 0
7 -98 63 0
-4 -86 -85 0
15 39 -16 0
-25 -49 -95 0
-41 48 66 0
-50 78 18 0
-41 -98 -39 0
-35 -36 92 0
30 -39 -3 0
25 35 67 0
