c instance by G2
c solution = 1001000110110011110001010100111001100111000000101001100111100010000001100000000101011111001010111111
c Known solution cost is 2062 
p cnf 100 5000
w 9 53 59 57 52 9 79 39 4 15 21 46 39 92 2 73 15 20 16 46 66 2 4 7 21 9 17 94 41 63 92 1 15 50 57 66 10 87 56 65 2 76 10 92 68 11 64 82 30 79 79 47 32 83 6 4 43 22 98 83 84 41 83 50 43 91 67 4 77 23 69 78 98 30 70 17 41 85 51 22 16 29 21 47 11 26 51 5 47 100 87 83 92 21 84 86 11 51 90 40
45 -5 93 0
84 -40 17 0
32 -94 -66 0
-22 -62 17 0
92 91 -59 0
-40 63 14 0
-83 -80 -6 0
52 21 36 0
-70 8 -59 0
-75 28 18 0
99 -59 48 0
-97 -81 -35 0
4 -39 63 0
-41 -94 91 0
60 61 17 0
35 -14 37 0
-6 32 21 0
88 -43 -14 0
97 -5 73 0
100 -11 -22 0
-31 96 -69 0
-67 -5 18 0
90 49 -100 0
-17 -69 96 0
39 68 -9 0
64 -68 28 0
-70 -46 -94 0
-27 -25 -4 0
74 -41 28 0
5 86 73 0
78 -27 -14 0
59 -9 -94 0
-68 71 33 0
77 78 -33 0
-21 -91 32 0
12 -74 -4 0
-5 -1 26 0
52 5 1 0
-79 84 50 0
-1 -15 99 0
84 37 98 0
44 -4 -68 0
78 -65 -60 0
-67 -100 82 0
80 45 -72 0
-15 79 4 0
48 -13 -26 0
-71 47 32 0
-27 -45 -91 0
-20 -38 10 0
-76 -86 69 0
-28 25 59 0
37 -85 84 0
68 60 -13 0
29 -22 -99 0
-83 13 -60 0
-78 74 -2 0
25 -70 -43 0
-96 93 -7 0
-40 9 -3 0
15 -49 13 0
-36 -2 -45 0
18 -21 14 0
77 -28 -69 0
4 58 -72 0
36 66 -94 0
-70 61 -3 0
-42 54 95 0
-18 -88 97 0
35 -37 41 0
-63 30 -44 0
80 -51 13 0
-25 -59 39 0
88 36 -23 0
55 79 8 0
-92 15 38 0
-46 36 47 0
-68 -7 -63 0
-100 -78 -26 0
54 68 15 0
39 -13 94 0
48 6 39 0
-94 19 -36 0
25 -77 75 0
100 99 -12 0
25 67 -74 0
-41 -20 12 0
-12 -7 71 0
20 -37 -86 0
-21 -100 -8 0
77 -67 -18 0
4 -3 -34 0
99 -35 -5 0
-22 -74 -91 0
-32 54 -39 0
91 -100 -82 0
21 19 86 0
67 86 35 0
35 -51 16 0
65 -41 -53 0
-97 -28 -90 0
-70 31 -13 0
53 -15 -97 0
-35 -27 34 0
46 34 2 0
-83 -91 -97 0
21 -52 12 0
-32 84 -24 0
-42 99 82 0
14 34 -62 0
44 12 74 0
-62 19 12 0
-3 6 -50 0
-52 90 99 0
20 78 49 0
-31 -9 71 0
22 -52 -27 0
-12 40 91 0
-22 -39 -50 0
9 -21 -72 0
9 -33 -89 0
-76 29 11 0
93 -27 14 0
44 -75 72 0
-36 -92 38 0
50 4 -40 0
-16 -73 -86 0
-69 -86 -40 0
24 -72 22 0
85 64 2 0
-25 15 46 0
-79 80 33 0
-19 25 -84 0
46 -14 48 0
85 -42 -47 0
80 -71 -13 0
-45 59 -62 0
9 96 -18 0
-78 82 -65 0
68 -45 -43 0
88 60 -61 0
83 -43 -42 0
54 -48 92 0
-69 -46 42 0
65 84 63 0
-66 -86 18 0
87 -32 82 0
61 -95 -54 0
25 -19 90 0
-21 30 -26 0
-62 88 44 0
61 -13 -65 0
82 -68 58 0
-23 94 93 0
-71 96 -68 0
-14 -83 62 0
49 94 -84 0
-86 -55 54 0
100 -32 82 0
-73 14 -5 0
52 7 39 0
-29 -65 -43 0
22 -95 -28 0
49 -87 48 0
59 -29 69 0
24 -92 -86 0
-13 10 3 0
-61 -49 -17 0
-98 91 70 0
9 82 74 0
55 63 45 0
79 75 70 0
25 3 -90 0
-42 33 -8 0
62 63 8 0
-82 41 16 0
49 5 63 0
-91 -47 31 0
55 -65 -72 0
43 89 86 0
-52 3 -10 0
-22 -79 -68 0
-41 -5 -74 0
-95 -67 70 0
-44 46 27 0
24 11 -73 0
-85 30 -38 0
48 -19 -40 0
-99 91 -84 0
