c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 2669 
p cnf 100 300
w 90 44 53 26 89 75 68 92 37 7 44 33 60 86 44 25 33 49 95 95 67 44 51 8 38 24 36 13 45 5 59 34 48 12 11 36 86 78 28 74 36 23 6 96 60 2 72 92 50 18 38 17 61 40 24 99 15 11 11 60 16 22 45 63 85 56 51 70 85 30 43 73 52 1 68 11 2 39 54 51 8 43 67 68 34 43 18 48 53 29 59 20 2 4 35 86 11 85 7 47
-76 44 -96 0
-51 -20 2 0
73 -20 -36 0
36 71 -4 0
1 8 77 0
60 86 -94 0
-28 17 -7 0
69 3 78 0
-33 83 2 0
80 78 -37 0
38 -99 -9 0
-88 30 44 0
-18 -14 13 0
30 -39 -3 0
16 6 50 0
-69 70 -92 0
-97 83 46 0
54 -8 -64 0
46 -98 72 0
40 64 -20 0
79 73 57 0
72 -95 11 0
-15 88 21 0
-60 21 94 0
60 -49 22 0
-19 -65 39 0
-79 98 -10 0
98 -47 -50 0
93 -65 97 0
80 62 71 0
76 44 -91 0
-99 26 -11 0
52 42 69 0
-42 46 39 0
77 28 76 0
-91 -23 -29 0
46 92 -9 0
-14 -92 83 0
-62 46 33 0
-61 -13 -66 0
21 -99 30 0
55 31 -81 0
-51 -49 39 0
40 -57 19 0
6 -71 16 0
79 -49 -98 0
15 -32 51 0
51 94 -32 0
81 -58 -61 0
-96 44 61 0
23 -88 3 0
-48 87 46 0
64 -77 -95 0
-85 -52 55 0
79 25 -18 0
85 43 -24 0
47 -12 87 0
11 -96 -61 0
-21 -15 38 0
7 9 -88 0
88 87 -63 0
56 1 -27 0
63 -81 7 0
-67 75 99 0
10 -49 -62 0
-87 -29 -59 0
4 93 6 0
79 -71 53 0
8 -51 3 0
-43 29 77 0
-8 -30 -93 0
88 -68 97 0
12 -26 -81 0
-50 -30 39 0
-99 -74 -30 0
-35 -9 12 0
62 71 10 0
61 -6 37 0
48 -32 -31 0
-87 -45 48 0
-30 -45 -38 0
-51 100 -15 0
95 -28 -93 0
46 95 33 0
72 27 17 0
69 95 86 0
-18 -58 57 0
74 8 61 0
46 -27 12 0
-83 -52 8 0
-59 39 48 0
-10 -98 1 0
40 -50 13 0
21 -64 28 0
9 89 68 0
87 45 -48 0
85 90 21 0
-100 -81 -73 0
