c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 3278 
p cnf 100 550
w 87 10 68 22 42 98 94 62 28 56 86 91 2 88 84 83 29 71 61 79 66 31 72 71 35 43 55 53 67 63 3 6 72 22 27 65 72 72 78 99 79 63 41 81 51 25 15 31 47 75 9 64 5 33 87 39 27 93 44 45 8 98 2 31 19 80 96 90 52 73 41 82 88 33 62 90 57 29 20 56 3 80 71 8 64 9 98 42 2 93 87 9 90 88 39 9 68 34 50 71
-76 -39 -61 0
-98 -20 77 0
-5 40 98 0
33 -57 59 0
17 -61 -38 0
13 46 -48 0
-17 -30 -4 0
60 33 -61 0
-78 96 14 0
-91 -6 15 0
67 78 -56 0
-42 43 -20 0
-77 -62 71 0
21 24 -2 0
-48 -29 20 0
81 -61 -92 0
-6 72 -75 0
92 -15 51 0
-18 24 76 0
-56 -45 71 0
-46 -37 -48 0
40 -57 19 0
78 -12 -81 0
1 8 77 0
85 43 -24 0
-6 -41 -73 0
-79 77 -82 0
5 92 -8 0
-82 -77 -73 0
-23 6 -44 0
94 -22 -98 0
-13 83 64 0
45 44 -18 0
83 -37 95 0
-83 84 58 0
81 52 -71 0
-7 -41 -71 0
70 73 6 0
-14 -36 63 0
89 -99 4 0
-21 -15 38 0
15 -42 88 0
-28 -35 -4 0
19 -90 11 0
83 80 -79 0
70 43 4 0
50 -26 76 0
85 47 -92 0
67 32 -86 0
-30 29 -54 0
-14 60 88 0
-53 8 -61 0
-18 26 -61 0
48 -61 85 0
74 8 61 0
45 -76 70 0
-71 -26 41 0
60 67 49 0
-48 -65 71 0
94 -53 -1 0
-77 50 -20 0
66 37 2 0
-99 -74 -30 0
-26 84 25 0
50 -44 -77 0
-2 -72 68 0
-8 18 86 0
18 99 -67 0
-47 -1 -25 0
-81 -52 -15 0
-65 4 83 0
-49 -79 -22 0
-85 69 7 0
99 83 62 0
-55 100 -80 0
76 44 -91 0
-78 -36 53 0
58 -25 -33 0
-40 -22 4 0
-4 36 -61 0
-26 25 -28 0
83 -30 49 0
-65 98 89 0
-13 75 -59 0
86 54 3 0
60 -49 22 0
52 42 69 0
61 36 -32 0
-67 -58 -36 0
-31 -37 -12 0
-52 -46 95 0
-93 85 21 0
-3 -45 12 0
-63 80 50 0
-47 26 -27 0
21 -99 30 0
-68 54 -69 0
-12 36 78 0
-99 61 91 0
79 -49 -98 0
-35 -48 -45 0
16 -56 9 0
9 89 68 0
-92 -74 -39 0
27 10 -72 0
8 -51 3 0
86 -94 -31 0
89 -70 38 0
2 92 18 0
-25 -49 -95 0
74 23 96 0
47 -12 87 0
-54 -4 16 0
-46 -23 49 0
-85 36 -22 0
90 -85 9 0
-19 -78 79 0
-31 -81 -70 0
70 47 -44 0
89 18 -38 0
-52 -7 -49 0
-97 64 46 0
95 19 -43 0
72 66 99 0
49 -16 -56 0
-13 -32 -55 0
-30 -34 -37 0
-51 100 -15 0
52 -2 -12 0
-42 -21 -37 0
90 -4 83 0
47 -64 5 0
-7 97 -2 0
-97 83 46 0
-45 -20 87 0
59 72 68 0
-50 -67 73 0
84 -69 92 0
-60 19 -37 0
47 -65 46 0
32 67 55 0
10 30 -83 0
40 -50 13 0
-85 17 -91 0
35 -71 -7 0
37 56 7 0
51 86 -60 0
-36 16 -96 0
-28 23 -13 0
15 -87 20 0
-7 -14 11 0
-58 90 7 0
-61 59 77 0
87 27 -42 0
-54 -79 -20 0
-2 72 88 0
12 -46 43 0
45 -28 32 0
-74 -80 -55 0
26 21 51 0
-72 42 38 0
54 81 3 0
2 -84 -79 0
39 94 -65 0
-3 98 40 0
30 64 -2 0
75 -13 -49 0
-61 -13 -66 0
42 -84 -79 0
38 47 -91 0
-61 50 -38 0
-43 29 77 0
-18 19 -54 0
-77 -83 -89 0
-72 -5 -80 0
55 7 -45 0
80 62 71 0
80 15 2 0
-52 1 -85 0
-41 48 66 0
61 32 29 0
-50 -40 86 0
18 -12 79 0
51 94 -32 0
47 44 -68 0
42 -31 -27 0
-80 73 41 0
78 2 -81 0
49 82 -55 0
-81 -60 41 0
71 -74 -78 0
-2 91 94 0
98 15 -48 0
-100 -81 -73 0
7 -26 24 0
-19 -90 24 0
77 28 76 0
77 56 -97 0
20 74 90 0
5 44 -78 0
-12 -13 -20 0
98 -40 -62 0
33 -2 26 0
-75 42 -11 0
-100 -6 -63 0
86 35 25 0
79 91 64 0
-57 -22 23 0
-28 -38 -79 0
-26 75 -92 0
38 57 -72 0
47 -96 27 0
-91 -24 -76 0
-36 44 -8 0
4 -32 77 0
-28 17 -7 0
62 -17 39 0
84 41 63 0
28 63 -43 0
45 -66 -64 0
95 73 65 0
97 -68 41 0
-41 62 77 0
-73 -98 65 0
21 14 27 0
-49 -48 58 0
56 1 -27 0
-16 7 -98 0
32 56 70 0
84 65 -10 0
76 36 -94 0
11 25 3 0
5 73 -11 0
47 -1 -17 0
96 -71 67 0
-59 -99 77 0
-66 -84 54 0
62 64 -49 0
-34 -18 -49 0
98 -24 10 0
-56 26 94 0
20 98 -52 0
46 92 -9 0
15 39 -16 0
-15 -95 18 0
48 -23 -74 0
-35 -36 92 0
-63 -56 -70 0
-63 21 -67 0
34 49 -78 0
28 -22 49 0
40 -20 58 0
55 31 -81 0
-27 -43 -61 0
-90 -87 49 0
-48 87 46 0
82 33 -98 0
-18 -58 57 0
-9 -33 14 0
13 40 72 0
-93 20 99 0
75 -12 13 0
-99 -81 46 0
-94 -20 -14 0
-15 63 56 0
34 -17 -76 0
96 34 62 0
47 29 10 0
66 -52 65 0
-3 35 -75 0
69 58 -73 0
-13 -5 34 0
6 -71 16 0
-62 -36 -18 0
90 -32 62 0
-95 -64 -6 0
38 -50 54 0
74 -32 13 0
71 -50 18 0
-2 -54 65 0
-67 39 -31 0
-24 -97 55 0
-89 16 45 0
62 71 10 0
99 -38 -16 0
53 23 -82 0
35 -18 48 0
-66 -5 -9 0
62 48 100 0
-96 78 -39 0
-41 81 87 0
-5 4 -43 0
-22 93 90 0
95 45 77 0
-18 -14 13 0
-11 35 -64 0
-72 43 -66 0
-37 -65 58 0
-46 58 88 0
63 -81 7 0
10 -49 -62 0
-38 2 -32 0
20 27 -3 0
35 88 63 0
44 -38 -65 0
-7 66 -11 0
43 32 19 0
-61 70 99 0
-58 78 30 0
85 -73 16 0
-54 -26 66 0
-90 -12 95 0
86 42 84 0
-15 70 27 0
64 27 87 0
34 -14 49 0
49 -85 21 0
11 39 51 0
-87 83 15 0
-98 24 -31 0
69 95 86 0
47 11 -75 0
67 -80 -58 0
88 87 -63 0
-11 -99 14 0
86 -82 19 0
-27 -54 12 0
-82 -39 64 0
-50 -30 39 0
-4 -86 -85 0
-2 -59 72 0
76 -38 -44 0
-40 -92 -10 0
43 -37 3 0
-33 -40 -53 0
-16 -7 -39 0
44 22 58 0
-98 -83 6 0
-41 -98 -39 0
-16 79 -14 0
14 63 -35 0
14 -100 77 0
55 -49 -20 0
-76 33 -5 0
93 69 -28 0
29 -18 -99 0
-68 2 75 0
-14 -92 83 0
90 -19 -40 0
-61 25 -55 0
-21 -12 -29 0
95 -98 -40 0
-95 42 37 0
50 13 18 0
-52 53 -82 0
-62 20 35 0
-51 -49 39 0
-27 92 58 0
-71 48 -11 0
-12 -17 24 0
-85 -26 -84 0
11 -96 -61 0
-23 -7 6 0
39 -77 3 0
21 -29 87 0
7 78 -79 0
46 95 33 0
79 25 -18 0
-29 18 89 0
-40 46 6 0
-52 71 80 0
20 18 -65 0
28 -43 73 0
-86 -13 -100 0
76 56 81 0
38 55 -40 0
-100 97 84 0
-91 72 33 0
54 70 88 0
24 -35 -8 0
-87 -65 6 0
-91 84 17 0
98 -36 -35 0
-85 78 -98 0
30 -39 -3 0
-21 3 4 0
-16 -77 56 0
-68 -72 -14 0
79 33 35 0
100 -57 73 0
51 -22 52 0
-29 -44 -18 0
-43 -98 100 0
-98 -10 12 0
16 6 50 0
-65 68 -94 0
-24 -18 30 0
23 -91 -15 0
-10 -53 82 0
-76 -27 65 0
55 -16 74 0
7 33 86 0
13 -92 96 0
-85 -52 55 0
96 90 -6 0
-61 -85 68 0
53 74 19 0
65 84 3 0
-22 -51 94 0
88 -14 -15 0
-59 39 48 0
23 36 -71 0
62 -17 77 0
-99 26 -11 0
65 45 -71 0
36 -84 -46 0
-6 36 31 0
-50 87 29 0
70 3 46 0
96 -75 -91 0
-34 53 23 0
7 -98 63 0
1 -32 84 0
-91 17 -86 0
100 -23 -25 0
67 -54 36 0
-17 40 -99 0
84 -37 69 0
5 43 28 0
43 7 62 0
-3 -18 1 0
-67 42 10 0
20 41 77 0
-24 62 -22 0
83 59 85 0
48 -32 -31 0
74 2 43 0
42 -60 -36 0
92 98 65 0
41 52 35 0
-3 31 38 0
46 -98 72 0
4 -55 -2 0
-15 57 -92 0
80 -49 -64 0
64 -77 -95 0
-97 19 -64 0
97 51 57 0
77 -19 83 0
-14 -32 51 0
-87 -81 7 0
6 99 -26 0
81 92 82 0
80 52 -34 0
8 -2 -50 0
12 -43 45 0
-68 -74 -10 0
40 -38 -45 0
13 -15 -12 0
68 -96 37 0
28 46 -47 0
51 -4 -22 0
46 -84 -18 0
22 97 63 0
5 53 -83 0
22 27 -29 0
-83 8 79 0
-88 74 -68 0
36 71 -4 0
-85 -13 67 0
25 35 67 0
-34 94 79 0
-84 63 -38 0
7 -28 -5 0
85 38 65 0
-20 12 -98 0
91 -8 89 0
-59 -45 16 0
33 53 -92 0
-81 -31 98 0
-72 26 82 0
-19 -65 39 0
72 -95 11 0
64 53 -31 0
-67 75 99 0
-62 -7 88 0
-84 -41 8 0
21 72 -59 0
-57 99 23 0
-78 -56 95 0
90 54 95 0
-82 47 -58 0
-96 -92 -14 0
84 99 45 0
98 69 60 0
-88 7 28 0
-30 -45 -38 0
45 -48 25 0
3 -51 77 0
67 -25 -91 0
15 -32 51 0
75 -57 1 0
8 -42 78 0
-16 -75 46 0
93 -65 97 0
-68 -27 83 0
89 -54 93 0
-88 -44 -16 0
-90 -94 67 0
19 29 40 0
-29 -70 -84 0
-44 8 24 0
17 86 -68 0
-29 -47 100 0
25 -33 96 0
87 45 -48 0
-50 78 18 0
-19 37 -18 0
9 55 37 0
-31 93 92 0
56 7 62 0
-1 38 9 0
-62 71 -15 0
88 -68 97 0
60 86 -94 0
-24 -37 -44 0
-66 -63 39 0
-94 -54 34 0
-11 60 -22 0
-34 76 4 0
-79 100 99 0
86 47 -100 0
69 -62 -74 0
-82 -65 88 0
90 16 -28 0
81 -91 -9 0
-96 44 61 0
32 52 -8 0
-49 9 -94 0
-33 42 40 0
-8 -30 -93 0
45 95 73 0
11 20 81 0
-74 -94 77 0
-78 97 -4 0
-90 -21 -53 0
-40 89 56 0
-55 -37 -85 0
-60 -53 56 0
-33 -16 -100 0
