c instance by G2
c solution = 110011110000111100111011110101010011001011001111000100111101010011010111011110110100111000101110110101001100111101101001000111000010110000011100110000
c Known solution cost is 6099 
p cnf 150 15000
w 50 58 92 13 49 46 11 1 12 20 140 109 66 138 39 89 133 116 74 147 111 35 100 103 7 94 33 14 123 52 132 74 11 73 86 59 20 149 111 84 70 3 42 135 140 133 74 24 98 49 73 58 84 22 62 90 17 94 103 41 47 137 16 57 111 102 18 131 2 128 64 71 32 7 55 73 139 30 97 138 79 19 45 12 92 9 3 10 102 7 50 149 143 65 107 6 68 124 136 69 4 101 41 35 9 96 108 148 27 106 37 105 26 134 18 19 142 20 28 145 79 129 45 71 43 2 76 13 125 113 133 30 115 24 65 26 21 74 23 47 81 111 54 8 94 71 26 85 143 53
132 -50 -18 0
45 -142 127 0
-142 -89 146 0
-31 50 -48 0
114 12 149 0
40 -84 -133 0
-75 -146 -17 0
-81 98 138 0
-51 120 -137 0
91 53 -80 0
10 96 91 0
-134 -20 -37 0
39 99 121 0
-99 114 -108 0
19 -54 -115 0
21 3 103 0
50 127 115 0
-127 -64 26 0
71 -95 44 0
54 -147 132 0
-66 24 -133 0
-87 -148 -80 0
12 76 138 0
19 56 -102 0
-70 -124 -122 0
-19 18 -113 0
-136 123 118 0
147 -94 68 0
14 -110 23 0
-36 -147 -9 0
102 38 101 0
100 -90 33 0
144 -88 -145 0
45 -24 -59 0
-114 -29 -47 0
90 118 -122 0
-104 -59 -117 0
-150 -21 67 0
-19 -58 -107 0
58 -42 -143 0
-41 1 -42 0
86 -79 122 0
139 29 -73 0
67 29 -11 0
38 -84 -145 0
3 -136 -50 0
-135 60 122 0
15 79 33 0
62 -86 -3 0
-18 93 107 0
6 -117 -55 0
79 138 -91 0
-43 67 77 0
-123 55 111 0
102 42 129 0
49 -81 32 0
74 -15 -97 0
126 19 -146 0
74 135 -116 0
-101 65 -9 0
-111 52 -106 0
96 91 -78 0
113 -108 39 0
-138 63 -58 0
-121 -102 39 0
142 -55 -123 0
114 95 40 0
-20 57 143 0
100 27 5 0
-11 107 -28 0
86 115 90 0
70 41 90 0
-63 -10 84 0
-69 90 -14 0
145 99 57 0
122 -53 -46 0
71 32 -19 0
-142 -51 -95 0
116 7 -86 0
93 -48 108 0
-145 126 -70 0
-147 -46 -140 0
22 -10 -147 0
104 -80 120 0
66 110 -109 0
136 -114 -88 0
84 76 -116 0
66 -131 -92 0
-125 76 -21 0
-60 -22 127 0
33 19 -136 0
-95 -97 70 0
-77 15 -74 0
-109 -36 32 0
12 36 5 0
140 72 130 0
-93 -67 116 0
24 -10 33 0
109 -7 29 0
-115 53 -88 0
25 126 90 0
55 89 -116 0
-14 -49 55 0
-91 -68 -84 0
55 -6 -143 0
135 -61 -35 0
-81 -71 66 0
53 -32 -29 0
-142 76 78 0
80 -45 66 0
35 -52 -144 0
130 -48 35 0
-35 -2 39 0
94 82 25 0
10 -124 8 0
134 96 145 0
-65 -52 39 0
85 83 27 0
-79 12 -103 0
-103 29 21 0
91 -119 78 0
-10 -129 -51 0
101 -138 -140 0
-64 -110 20 0
80 115 129 0
125 63 49 0
39 2 -140 0
-76 86 12 0
-90 -124 5 0
-82 108 -143 0
78 -97 100 0
79 113 25 0
109 -104 -24 0
15 -21 91 0
-132 4 37 0
95 74 -37 0
102 69 82 0
-99 127 119 0
100 -47 -19 0
-89 105 141 0
-89 9 3 0
132 77 -120 0
-92 -111 51 0
65 -67 -105 0
-108 59 -113 0
97 31 82 0
128 -103 80 0
41 -129 140 0
27 56 -13 0
65 132 70 0
-80 -40 93 0
-57 21 129 0
-43 -53 34 0
103 88 -89 0
66 -27 -140 0
-102 8 146 0
-46 80 -50 0
-12 59 138 0
56 -30 112 0
-137 -38 36 0
89 146 -74 0
11 135 68 0
-64 -61 -41 0
83 144 -50 0
-63 -142 93 0
137 -58 -44 0
-33 94 106 0
-150 -143 -20 0
11 -137 127 0
-140 -76 62 0
-10 -94 142 0
124 5 -51 0
49 -147 127 0
26 150 -11 0
-137 -94 -136 0
-111 48 -110 0
-58 -80 -73 0
85 46 -34 0
94 146 11 0
-49 -34 -43 0
22 -56 93 0
141 -147 -108 0
-12 141 -121 0
-102 98 -70 0
-69 -28 -8 0
35 120 58 0
124 -129 81 0
30 -82 -25 0
122 97 -72 0
130 24 -48 0
-143 72 88 0
-54 118 109 0
93 -149 -103 0
-29 113 134 0
45 113 142 0
-110 140 -84 0
130 70 -15 0
-84 100 -117 0
-97 -146 -88 0
-102 36 -26 0
-53 11 107 0
140 -146 83 0
54 136 79 0
86 43 10 0
-127 -10 34 0
-128 138 -96 0
89 99 -128 0
-132 -13 129 0
91 -98 -34 0
-92 -7 -36 0
60 28 38 0
131 -67 -58 0
117 88 -107 0
87 -57 -5 0
32 2 89 0
68 -120 109 0
-30 -103 -28 0
-38 -117 -96 0
-135 -121 4 0
105 26 -16 0
-120 58 42 0
-134 112 -44 0
-17 94 -63 0
79 60 -55 0
110 18 48 0
15 -85 129 0
-36 -18 41 0
-117 100 142 0
-94 26 17 0
-48 -10 76 0
101 96 117 0
-24 -69 63 0
-75 -107 -130 0
-124 -88 -38 0
139 112 12 0
-121 128 -15 0
125 -40 57 0
-25 -112 24 0
-52 48 -87 0
98 -22 -2 0
80 15 -59 0
65 -80 87 0
62 133 -148 0
47 21 -66 0
42 27 -96 0
125 -150 -82 0
139 -63 -82 0
120 -72 -74 0
146 98 -91 0
-81 -71 -6 0
-148 21 -82 0
-18 -3 122 0
-51 104 117 0
-78 123 6 0
-94 -71 95 0
101 -102 -104 0
-116 58 -131 0
54 -11 98 0
2 32 -55 0
-91 -68 -135 0
38 -69 -128 0
93 -71 102 0
82 148 -117 0
-42 -142 -136 0
61 101 -51 0
88 108 82 0
150 14 94 0
49 79 -53 0
-147 -136 81 0
-82 -95 -37 0
-136 -137 -105 0
79 72 -105 0
-76 5 -20 0
-114 111 -59 0
44 25 -108 0
129 -34 82 0
75 -129 95 0
-61 80 121 0
-108 118 38 0
51 -112 -99 0
-54 56 -132 0
149 -52 -84 0
48 -112 -97 0
111 94 -69 0
46 6 58 0
-30 139 -135 0
-148 138 97 0
-43 65 122 0
-89 -23 126 0
-64 150 33 0
11 -10 -62 0
101 -94 6 0
-10 85 -127 0
34 86 9 0
112 101 -4 0
-80 126 14 0
-4 137 -72 0
-61 -131 -93 0
-20 -135 -64 0
-110 132 142 0
-16 -76 -88 0
-150 93 131 0
-122 136 22 0
-41 127 97 0
