c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 3091 
p cnf 100 900
w 4 30 100 52 13 86 73 4 72 82 22 68 57 78 70 67 6 2 30 55 27 4 58 52 54 61 44 60 43 18 44 46 47 95 49 59 81 74 14 52 55 87 71 12 64 41 78 21 94 60 28 72 63 85 75 69 97 71 80 39 88 76 36 34 70 85 44 50 10 9 54 64 96 24 27 59 16 57 32 62 68 59 33 30 95 60 50 91 30 30 81 17 5 16 2 74 52 97 76 61
-43 -72 20 0
-16 -64 51 0
-38 81 27 0
2 -98 56 0
-28 -60 -8 0
49 -71 99 0
-70 43 -72 0
69 -62 -74 0
13 46 -48 0
80 52 -34 0
89 18 -38 0
-85 78 -98 0
-100 46 -98 0
5 -68 -63 0
-82 47 -58 0
90 -73 82 0
47 -96 27 0
80 -53 -13 0
-19 1 55 0
-98 65 58 0
-50 96 8 0
-17 40 -99 0
68 88 -24 0
30 -39 -3 0
28 46 -67 0
68 30 15 0
-40 -92 -10 0
26 87 35 0
7 -98 63 0
-45 64 -28 0
98 -31 80 0
-26 -34 -4 0
98 62 -80 0
-2 34 46 0
15 -40 -29 0
-54 -33 -40 0
64 -77 -95 0
-17 -97 47 0
54 -4 63 0
90 54 95 0
-45 -46 -58 0
89 -54 93 0
32 67 55 0
-63 85 68 0
-4 -43 61 0
-59 3 -90 0
15 -27 -56 0
-40 -22 4 0
17 -27 54 0
88 -83 -71 0
57 -80 -37 0
-13 -93 35 0
41 -74 -64 0
-43 29 77 0
-23 -7 6 0
-89 -29 9 0
83 -30 49 0
-82 -77 -73 0
-8 -84 32 0
-54 -79 -20 0
16 6 50 0
79 31 -71 0
-14 -36 63 0
-34 -18 -49 0
-89 -27 16 0
42 41 -26 0
-4 53 45 0
70 -4 88 0
6 30 13 0
-68 34 3 0
-30 -91 -24 0
-94 -54 34 0
-79 100 99 0
-14 97 96 0
84 90 -59 0
56 60 -30 0
-45 -20 87 0
13 7 23 0
44 22 58 0
22 10 56 0
53 74 19 0
65 79 -29 0
78 -12 -81 0
33 -90 29 0
-72 42 38 0
-29 -44 -18 0
22 -7 82 0
-28 -78 7 0
-28 -38 -79 0
8 -2 -50 0
49 -16 -56 0
-64 -80 9 0
-17 69 -70 0
74 8 61 0
-24 -18 30 0
98 -36 -35 0
-29 91 54 0
-66 -5 -9 0
-56 75 -44 0
73 -3 77 0
98 58 -24 0
-97 39 -20 0
-92 97 23 0
60 33 -61 0
-18 24 76 0
-97 19 -64 0
29 -18 -99 0
-14 60 88 0
18 -79 21 0
-19 -65 39 0
-98 99 80 0
90 16 -28 0
2 -24 62 0
39 96 -22 0
-64 -68 30 0
-59 -99 77 0
-46 -74 -56 0
62 -87 8 0
34 49 -78 0
75 -57 1 0
-89 51 88 0
-60 -59 47 0
-87 83 15 0
-37 -73 -92 0
-55 -59 -49 0
-65 100 79 0
-90 -21 -53 0
84 -32 -72 0
97 -33 -15 0
87 -64 -89 0
64 27 87 0
-35 -36 92 0
55 -49 -20 0
72 10 36 0
15 73 -4 0
-60 19 -37 0
-35 3 23 0
54 -16 84 0
-85 -52 55 0
10 -56 -46 0
-58 90 7 0
18 31 -9 0
-34 -67 23 0
86 24 17 0
-16 -7 -39 0
38 -50 54 0
-55 -53 -59 0
97 -74 82 0
97 -15 -92 0
2 92 18 0
1 63 24 0
-66 -63 39 0
34 -14 49 0
-49 -9 -3 0
100 -57 73 0
-2 91 94 0
89 -99 4 0
85 -27 -1 0
-68 -72 -14 0
55 31 -81 0
30 64 -2 0
-91 84 17 0
70 47 -44 0
11 -75 6 0
-91 87 89 0
-53 -35 -30 0
6 -29 -3 0
86 47 -100 0
-34 53 23 0
-92 -30 -93 0
-84 -41 8 0
76 -15 -29 0
86 42 84 0
-12 -13 -20 0
61 14 98 0
-83 84 58 0
-16 51 28 0
31 -73 -95 0
46 -98 72 0
-6 -41 -73 0
76 -38 -44 0
-98 -20 77 0
28 -43 73 0
81 87 75 0
-81 -52 -15 0
-7 55 -81 0
9 89 68 0
99 83 62 0
9 55 37 0
-62 -7 88 0
-13 -5 34 0
32 52 -8 0
-30 37 15 0
-20 38 14 0
10 -48 -61 0
-81 -25 -31 0
35 88 63 0
37 -89 2 0
82 -32 3 0
74 -27 -69 0
67 32 -86 0
80 7 66 0
15 -7 28 0
-69 48 19 0
85 43 -24 0
-93 20 99 0
-2 72 88 0
-21 -75 17 0
-84 -29 -68 0
12 -71 -84 0
-30 -45 -38 0
-73 -98 65 0
76 44 -91 0
10 7 -88 0
88 87 -63 0
18 -79 9 0
86 54 3 0
78 -18 20 0
31 -56 -73 0
-38 -22 77 0
94 -22 -98 0
40 -78 2 0
33 53 -92 0
77 28 76 0
33 -82 -14 0
-49 90 -64 0
48 -23 -74 0
-51 3 12 0
80 2 60 0
83 -37 95 0
52 42 69 0
68 -96 37 0
42 -60 -36 0
-62 -19 -50 0
85 -29 -4 0
-6 72 -75 0
-27 91 28 0
-34 -70 98 0
-97 83 46 0
-75 77 43 0
78 2 -81 0
84 1 97 0
15 -87 20 0
-28 17 -7 0
-47 -4 -49 0
30 -66 11 0
50 14 100 0
