c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 2861 
p cnf 100 1000
w 60 77 93 7 41 88 71 72 19 25 27 38 7 85 47 69 54 8 99 63 56 100 26 78 8 13 69 30 90 4 70 1 80 14 8 73 1 30 44 71 54 70 61 12 6 59 81 12 67 31 26 74 82 3 51 89 15 72 18 4 75 39 5 55 52 64 27 5 93 70 27 98 91 87 61 48 46 93 59 12 23 84 37 56 38 87 44 53 10 14 56 85 52 12 91 56 75 17 60 19
22 10 56 0
41 -72 88 0
32 8 95 0
30 -47 19 0
30 64 -2 0
19 -90 11 0
85 -33 -12 0
15 -42 88 0
-91 72 33 0
70 3 46 0
-17 -47 -68 0
45 44 -18 0
71 27 41 0
-36 44 -8 0
68 30 15 0
-51 100 -15 0
-31 -37 -12 0
9 42 -93 0
-97 83 46 0
-72 37 -89 0
-60 19 -37 0
94 -53 -1 0
-72 43 -66 0
38 57 -72 0
11 -3 -100 0
21 -29 87 0
32 56 70 0
41 -67 -57 0
-4 -83 96 0
14 75 -86 0
81 69 -65 0
78 96 -51 0
99 -21 52 0
42 -84 -79 0
-76 91 52 0
-50 87 29 0
-72 12 82 0
-53 39 -82 0
82 33 -98 0
91 13 -45 0
-84 63 -38 0
-33 -16 -100 0
99 83 62 0
48 -61 85 0
-11 -82 -24 0
47 29 10 0
-68 -27 83 0
-12 -17 24 0
-30 37 15 0
-76 -27 65 0
35 -73 -45 0
2 -98 56 0
-61 25 -55 0
-77 50 -20 0
84 -69 92 0
74 -27 -69 0
70 -97 -62 0
-77 41 63 0
-50 78 18 0
40 -38 -45 0
23 -58 17 0
-99 -74 -30 0
17 30 83 0
39 1 -57 0
86 76 43 0
-26 75 -92 0
62 -17 39 0
41 -74 -64 0
-66 -63 39 0
11 20 81 0
42 -31 -27 0
70 47 -44 0
-87 -19 -79 0
91 -48 64 0
95 73 65 0
94 -22 -98 0
-17 -30 -4 0
56 76 -57 0
