c instance by G2
c solution = 0000010111001110011101111101111010001010111010111001111111000101111011110011000101100011110100001001
c Known solution cost is 2702 
p cnf 100 950
w 5 34 10 9 61 11 96 2 28 87 55 86 55 37 48 78 94 90 34 79 82 75 67 90 61 15 65 46 61 60 34 17 93 95 26 5 57 73 58 85 11 12 70 65 1 69 94 46 10 79 76 92 53 42 33 65 8 97 10 20 9 43 89 53 89 14 10 46 38 67 30 48 31 51 64 83 20 57 28 81 35 3 72 40 96 56 4 56 5 14 75 13 8 63 17 97 28 26 94 65
7 -28 -5 0
68 -4 -24 0
-41 -36 -6 0
6 -23 38 0
-56 -80 8 0
33 -2 26 0
11 -18 75 0
33 -90 29 0
-92 97 23 0
-45 -20 87 0
44 22 58 0
74 2 43 0
-80 82 -55 0
62 71 10 0
91 -95 9 0
-98 -20 77 0
38 47 -91 0
-3 35 -75 0
-80 53 44 0
58 -25 -33 0
78 -12 -81 0
37 56 7 0
-17 40 -99 0
-43 -53 -63 0
71 -45 99 0
-6 -74 -45 0
-51 3 12 0
14 -100 77 0
-50 87 29 0
78 96 -51 0
10 -27 -54 0
9 55 37 0
-15 -95 18 0
-46 -23 49 0
-19 -33 -73 0
66 78 21 0
90 -73 82 0
-3 -64 -89 0
12 -40 -11 0
-34 94 79 0
99 52 -77 0
89 -54 93 0
20 27 -3 0
84 65 -10 0
82 80 1 0
-78 -56 95 0
48 -32 -31 0
46 -25 -12 0
-7 66 -11 0
-89 51 88 0
-16 -7 -39 0
-15 63 56 0
42 -31 -27 0
-77 -62 71 0
10 -56 -46 0
44 -38 -10 0
76 56 81 0
35 -24 -40 0
1 63 24 0
-50 96 8 0
74 -32 13 0
-85 36 -22 0
-97 19 -64 0
17 -61 -38 0
83 6 73 0
49 -85 21 0
49 82 -55 0
47 -65 46 0
18 31 -9 0
20 74 90 0
67 78 -56 0
-58 1 -63 0
80 62 71 0
-98 11 74 0
22 -7 82 0
69 95 86 0
-2 -59 72 0
6 -13 97 0
5 -68 -63 0
-55 -54 -94 0
64 53 -31 0
22 97 63 0
-47 26 -27 0
1 -32 84 0
7 -98 63 0
54 -16 84 0
100 6 25 0
71 27 41 0
-59 84 -98 0
85 43 -24 0
56 -37 -58 0
8 32 -29 0
-14 66 -63 0
-68 -27 83 0
-72 37 -89 0
-85 -52 55 0
5 92 -8 0
88 -14 -15 0
-90 -94 67 0
-58 -69 43 0
-84 -41 8 0
95 -98 -40 0
90 -85 9 0
-30 -45 -38 0
-79 -70 -26 0
-85 -26 -84 0
-31 -81 -70 0
-28 -35 -4 0
70 -67 -5 0
84 90 -59 0
-91 -24 -76 0
34 49 -78 0
-51 -49 39 0
-24 -97 55 0
-40 -32 -84 0
-19 18 -44 0
13 7 23 0
-44 -45 -77 0
84 40 54 0
-55 -37 -85 0
-33 -54 43 0
-13 -93 35 0
-100 -17 -12 0
-37 -69 -61 0
2 -98 56 0
37 51 83 0
76 -6 -20 0
-62 20 35 0
-14 34 -98 0
46 -69 65 0
-43 29 77 0
89 51 -87 0
84 88 20 0
-85 -73 -98 0
75 -12 13 0
-18 -58 57 0
-76 -39 -61 0
-59 -8 21 0
-92 -74 -39 0
-67 42 10 0
-58 -77 85 0
78 -18 20 0
42 41 -26 0
-21 -58 -42 0
5 44 -78 0
-39 42 34 0
23 -91 -15 0
46 5 88 0
-93 -58 6 0
6 99 -26 0
72 -95 17 0
25 -53 74 0
5 43 28 0
-56 75 -44 0
82 -32 3 0
10 30 -83 0
88 57 -28 0
-7 40 90 0
-62 -7 88 0
76 36 -94 0
-42 -91 -14 0
-42 58 -31 0
-65 98 89 0
-8 59 -5 0
69 78 59 0
-16 -77 56 0
6 1 86 0
-75 42 -11 0
81 -91 -9 0
28 46 -67 0
60 86 -94 0
55 31 -81 0
32 67 55 0
-48 -65 71 0
95 19 -43 0
79 -49 -98 0
33 53 -92 0
18 -79 21 0
84 41 63 0
-98 99 80 0
-87 -57 26 0
-35 -36 92 0
98 -36 -35 0
89 18 -38 0
62 -17 39 0
-91 84 17 0
-25 -49 -95 0
-54 -33 -40 0
-11 88 -66 0
79 33 35 0
-4 -43 61 0
-46 -74 -56 0
79 25 -18 0
86 39 43 0
-96 81 -100 0
-12 36 78 0
-7 55 -81 0
56 -17 -66 0
-77 38 25 0
-89 95 -96 0
22 10 56 0
9 -23 -18 0
-81 -25 -31 0
-22 -51 94 0
-60 -59 47 0
4 -55 -2 0
6 -71 16 0
28 93 84 0
-57 99 23 0
21 -48 57 0
42 83 -57 0
-52 -7 -49 0
10 -48 -61 0
-17 -97 47 0
44 -79 93 0
43 32 19 0
-53 39 -82 0
99 35 25 0
-49 -48 58 0
64 -90 -95 0
-82 -73 96 0
95 -25 -94 0
-79 100 99 0
-20 18 -62 0
40 -78 2 0
80 2 60 0
-16 -75 46 0
97 -78 -68 0
4 -32 77 0
25 -33 96 0
86 84 31 0
17 16 -94 0
-17 -47 -68 0
76 44 -91 0
28 46 -47 0
-8 53 -90 0
90 -19 -40 0
-49 6 -64 0
-87 48 83 0
73 -8 55 0
94 2 19 0
-54 39 32 0
-53 8 -61 0
10 -49 -62 0
-21 -15 38 0
15 39 -16 0
-30 37 15 0
-35 -94 59 0
97 51 57 0
12 -68 26 0
10 74 -68 0
57 -12 -5 0
-28 -38 -79 0
-12 -17 24 0
36 71 -4 0
-94 71 9 0
-59 -86 -91 0
-72 -5 -80 0
43 -77 59 0
-83 84 58 0
80 15 2 0
61 14 98 0
53 42 52 0
12 -46 43 0
-94 36 -67 0
-65 68 -94 0
60 -30 90 0
42 -9 -13 0
12 -43 45 0
-73 -98 65 0
90 -32 62 0
-97 -69 -99 0
9 89 68 0
-16 51 28 0
28 -43 73 0
47 29 -12 0
42 -60 -36 0
18 -79 9 0
-89 10 -54 0
-71 -26 41 0
57 -74 -72 0
-55 81 -84 0
-4 36 -61 0
-98 65 58 0
98 5 -50 0
56 -46 48 0
-46 -57 51 0
81 87 75 0
24 -35 -8 0
-63 -56 -70 0
-51 100 -15 0
50 14 100 0
13 -15 -12 0
96 58 -50 0
-29 -44 -18 0
-38 39 -93 0
-87 18 52 0
52 -2 -12 0
82 33 -98 0
97 -15 -92 0
-55 100 -80 0
98 -31 80 0
56 76 -57 0
4 62 77 0
50 -44 -77 0
5 53 -83 0
45 -28 32 0
-25 59 69 0
17 70 63 0
100 -57 73 0
25 35 67 0
